,answer,query,image_name,example_id
0,yes,How likely is an old person kisses a young person?,ex_0_img_0,ex_0_im_0_c_0
1,no,How likely is an old person kisses a young person?,ex_0_img_1,ex_0_im_1_c_0
2,no,How likely is a young person kisses an old person?,ex_0_img_0,ex_0_im_0_c_1
3,yes,How likely is a young person kisses an old person?,ex_0_img_1,ex_0_im_1_c_1
4,yes,How likely is the taller person hugs the shorter person?,ex_1_img_0,ex_1_im_0_c_0
5,no,How likely is the taller person hugs the shorter person?,ex_1_img_1,ex_1_im_1_c_0
6,no,How likely is the shorter person hugs the taller person?,ex_1_img_0,ex_1_im_0_c_1
7,yes,How likely is the shorter person hugs the taller person?,ex_1_img_1,ex_1_im_1_c_1
8,yes,How likely is the masked wrestler hits the unmasked wrestler?,ex_2_img_0,ex_2_im_0_c_0
9,no,How likely is the masked wrestler hits the unmasked wrestler?,ex_2_img_1,ex_2_im_1_c_0
10,no,How likely is the unmasked wrestler hits the masked wrestler?,ex_2_img_0,ex_2_im_0_c_1
11,yes,How likely is the unmasked wrestler hits the masked wrestler?,ex_2_img_1,ex_2_im_1_c_1
12,yes,How likely is a person watches an animal?,ex_3_img_0,ex_3_im_0_c_0
13,no,How likely is a person watches an animal?,ex_3_img_1,ex_3_im_1_c_0
14,no,How likely is an animal watches a person?,ex_3_img_0,ex_3_im_0_c_1
15,yes,How likely is an animal watches a person?,ex_3_img_1,ex_3_im_1_c_1
16,yes,How likely is the person without earrings pays the person with earrings?,ex_4_img_0,ex_4_im_0_c_0
17,no,How likely is the person without earrings pays the person with earrings?,ex_4_img_1,ex_4_im_1_c_0
18,no,How likely is the person with earrings pays the person without earrings?,ex_4_img_0,ex_4_im_0_c_1
19,yes,How likely is the person with earrings pays the person without earrings?,ex_4_img_1,ex_4_im_1_c_1
20,yes,How likely is a bird eats a snake?,ex_5_img_0,ex_5_im_0_c_0
21,no,How likely is a bird eats a snake?,ex_5_img_1,ex_5_im_1_c_0
22,no,How likely is a snake eats a bird?,ex_5_img_0,ex_5_im_0_c_1
23,yes,How likely is a snake eats a bird?,ex_5_img_1,ex_5_im_1_c_1
24,yes,"How likely is a plant was harmed by another organism, and that organism broke the plant into pieces?",ex_6_img_0,ex_6_im_0_c_0
25,no,"How likely is a plant was harmed by another organism, and that organism broke the plant into pieces?",ex_6_img_1,ex_6_im_1_c_0
26,no,"How likely is another organism was harmed by a plant, and that plant broke the organism into pieces?",ex_6_img_0,ex_6_im_0_c_1
27,yes,"How likely is another organism was harmed by a plant, and that plant broke the organism into pieces?",ex_6_img_1,ex_6_im_1_c_1
28,yes,How likely is a bottle is in water?,ex_7_img_0,ex_7_im_0_c_0
29,no,How likely is a bottle is in water?,ex_7_img_1,ex_7_im_1_c_0
30,no,How likely is water is in a bottle?,ex_7_img_0,ex_7_im_0_c_1
31,yes,How likely is water is in a bottle?,ex_7_img_1,ex_7_im_1_c_1
32,yes,How likely is a tree smashed into a car?,ex_8_img_0,ex_8_im_0_c_0
33,no,How likely is a tree smashed into a car?,ex_8_img_1,ex_8_im_1_c_0
34,no,How likely is a car smashed into a tree?,ex_8_img_0,ex_8_im_0_c_1
35,yes,How likely is a car smashed into a tree?,ex_8_img_1,ex_8_im_1_c_1
36,yes,How likely is people fall on the leaves?,ex_9_img_0,ex_9_im_0_c_0
37,no,How likely is people fall on the leaves?,ex_9_img_1,ex_9_im_1_c_0
38,no,How likely is the leaves fall on people?,ex_9_img_0,ex_9_im_0_c_1
39,yes,How likely is the leaves fall on people?,ex_9_img_1,ex_9_im_1_c_1
40,yes,How likely is the sail rests below the water?,ex_10_img_0,ex_10_im_0_c_0
41,no,How likely is the sail rests below the water?,ex_10_img_1,ex_10_im_1_c_0
42,no,How likely is the water rests below the sail?,ex_10_img_0,ex_10_im_0_c_1
43,yes,How likely is the water rests below the sail?,ex_10_img_1,ex_10_im_1_c_1
44,yes,How likely is there is a table below someone?,ex_11_img_0,ex_11_im_0_c_0
45,no,How likely is there is a table below someone?,ex_11_img_1,ex_11_im_1_c_0
46,no,How likely is there is someone below a table?,ex_11_img_0,ex_11_im_0_c_1
47,yes,How likely is there is someone below a table?,ex_11_img_1,ex_11_im_1_c_1
48,yes,How likely is the image shows a computer on top of books?,ex_12_img_0,ex_12_im_0_c_0
49,no,How likely is the image shows a computer on top of books?,ex_12_img_1,ex_12_im_1_c_0
50,no,How likely is the image shows books on top of a computer?,ex_12_img_0,ex_12_im_0_c_1
51,yes,How likely is the image shows books on top of a computer?,ex_12_img_1,ex_12_im_1_c_1
52,yes,How likely is a caterpillar with some plants?,ex_13_img_0,ex_13_im_0_c_0
53,no,How likely is a caterpillar with some plants?,ex_13_img_1,ex_13_im_1_c_0
54,no,How likely is a plant with some caterpillars?,ex_13_img_0,ex_13_im_0_c_1
55,yes,How likely is a plant with some caterpillars?,ex_13_img_1,ex_13_im_1_c_1
56,yes,How likely is there is a mug in some grass?,ex_14_img_0,ex_14_im_0_c_0
57,no,How likely is there is a mug in some grass?,ex_14_img_1,ex_14_im_1_c_0
58,no,How likely is there is some grass in a mug?,ex_14_img_0,ex_14_im_0_c_1
59,yes,How likely is there is some grass in a mug?,ex_14_img_1,ex_14_im_1_c_1
60,yes,How likely is there are more skiers than snowboarders?,ex_15_img_0,ex_15_im_0_c_0
61,no,How likely is there are more skiers than snowboarders?,ex_15_img_1,ex_15_im_1_c_0
62,no,How likely is there are more snowboarders than skiers?,ex_15_img_0,ex_15_im_0_c_1
63,yes,How likely is there are more snowboarders than skiers?,ex_15_img_1,ex_15_im_1_c_1
64,yes,How likely is there are fewer forks than spoons?,ex_16_img_0,ex_16_im_0_c_0
65,no,How likely is there are fewer forks than spoons?,ex_16_img_1,ex_16_im_1_c_0
66,no,How likely is there are fewer spoons than forks?,ex_16_img_0,ex_16_im_0_c_1
67,yes,How likely is there are fewer spoons than forks?,ex_16_img_1,ex_16_im_1_c_1
68,yes,How likely is there are more ladybugs than flowers?,ex_17_img_0,ex_17_im_0_c_0
69,no,How likely is there are more ladybugs than flowers?,ex_17_img_1,ex_17_im_1_c_0
70,no,How likely is there are more flowers than ladybugs?,ex_17_img_0,ex_17_im_0_c_1
71,yes,How likely is there are more flowers than ladybugs?,ex_17_img_1,ex_17_im_1_c_1
72,yes,How likely is there is less orange juice than milk?,ex_18_img_0,ex_18_im_0_c_0
73,no,How likely is there is less orange juice than milk?,ex_18_img_1,ex_18_im_1_c_0
74,no,How likely is there is less milk than orange juice?,ex_18_img_0,ex_18_im_0_c_1
75,yes,How likely is there is less milk than orange juice?,ex_18_img_1,ex_18_im_1_c_1
76,yes,How likely is there is more dirt than empty space in the jar?,ex_19_img_0,ex_19_im_0_c_0
77,no,How likely is there is more dirt than empty space in the jar?,ex_19_img_1,ex_19_im_1_c_0
78,no,How likely is there is more empty space than dirt in the jar?,ex_19_img_0,ex_19_im_0_c_1
79,yes,How likely is there is more empty space than dirt in the jar?,ex_19_img_1,ex_19_im_1_c_1
80,yes,How likely is there is a bit less milk chocolate than white chocolate?,ex_20_img_0,ex_20_im_0_c_0
81,no,How likely is there is a bit less milk chocolate than white chocolate?,ex_20_img_1,ex_20_im_1_c_0
82,no,How likely is there is a bit less white chocolate than milk chocolate?,ex_20_img_0,ex_20_im_0_c_1
83,yes,How likely is there is a bit less white chocolate than milk chocolate?,ex_20_img_1,ex_20_im_1_c_1
84,yes,How likely is a person sits and a dog stands?,ex_21_img_0,ex_21_im_0_c_0
85,no,How likely is a person sits and a dog stands?,ex_21_img_1,ex_21_im_1_c_0
86,no,How likely is a person stands and a dog sits?,ex_21_img_0,ex_21_im_0_c_1
87,yes,How likely is a person stands and a dog sits?,ex_21_img_1,ex_21_im_1_c_1
88,yes,How likely is The person with more facial hair lies awake while the other sleeps?,ex_22_img_0,ex_22_im_0_c_0
89,no,How likely is The person with more facial hair lies awake while the other sleeps?,ex_22_img_1,ex_22_im_1_c_0
90,no,How likely is The person with more facial hair sleeps while the other lies awake?,ex_22_img_0,ex_22_im_0_c_1
91,yes,How likely is The person with more facial hair sleeps while the other lies awake?,ex_22_img_1,ex_22_im_1_c_1
