,answer,query,image_name,example_id
0,yes,an old person kisses a young person,ex_0_img_0,ex_0_im_0_c_0
1,no,an old person kisses a young person,ex_0_img_1,ex_0_im_1_c_0
2,no,a young person kisses an old person,ex_0_img_0,ex_0_im_0_c_1
3,yes,a young person kisses an old person,ex_0_img_1,ex_0_im_1_c_1
4,yes,the taller person hugs the shorter person,ex_1_img_0,ex_1_im_0_c_0
5,no,the taller person hugs the shorter person,ex_1_img_1,ex_1_im_1_c_0
6,no,the shorter person hugs the taller person,ex_1_img_0,ex_1_im_0_c_1
7,yes,the shorter person hugs the taller person,ex_1_img_1,ex_1_im_1_c_1
8,yes,the masked wrestler hits the unmasked wrestler,ex_2_img_0,ex_2_im_0_c_0
9,no,the masked wrestler hits the unmasked wrestler,ex_2_img_1,ex_2_im_1_c_0
10,no,the unmasked wrestler hits the masked wrestler,ex_2_img_0,ex_2_im_0_c_1
11,yes,the unmasked wrestler hits the masked wrestler,ex_2_img_1,ex_2_im_1_c_1
12,yes,a person watches an animal,ex_3_img_0,ex_3_im_0_c_0
13,no,a person watches an animal,ex_3_img_1,ex_3_im_1_c_0
14,no,an animal watches a person,ex_3_img_0,ex_3_im_0_c_1
15,yes,an animal watches a person,ex_3_img_1,ex_3_im_1_c_1
16,yes,the person without earrings pays the person with earrings,ex_4_img_0,ex_4_im_0_c_0
17,no,the person without earrings pays the person with earrings,ex_4_img_1,ex_4_im_1_c_0
18,no,the person with earrings pays the person without earrings,ex_4_img_0,ex_4_im_0_c_1
19,yes,the person with earrings pays the person without earrings,ex_4_img_1,ex_4_im_1_c_1
20,yes,a bird eats a snake,ex_5_img_0,ex_5_im_0_c_0
21,no,a bird eats a snake,ex_5_img_1,ex_5_im_1_c_0
22,no,a snake eats a bird,ex_5_img_0,ex_5_im_0_c_1
23,yes,a snake eats a bird,ex_5_img_1,ex_5_im_1_c_1
24,yes,"a plant was harmed by another organism, and that organism broke the plant into pieces",ex_6_img_0,ex_6_im_0_c_0
25,no,"a plant was harmed by another organism, and that organism broke the plant into pieces",ex_6_img_1,ex_6_im_1_c_0
26,no,"another organism was harmed by a plant, and that plant broke the organism into pieces",ex_6_img_0,ex_6_im_0_c_1
27,yes,"another organism was harmed by a plant, and that plant broke the organism into pieces",ex_6_img_1,ex_6_im_1_c_1
28,yes,a bottle is in water,ex_7_img_0,ex_7_im_0_c_0
29,no,a bottle is in water,ex_7_img_1,ex_7_im_1_c_0
30,no,water is in a bottle,ex_7_img_0,ex_7_im_0_c_1
31,yes,water is in a bottle,ex_7_img_1,ex_7_im_1_c_1
32,yes,a tree smashed into a car,ex_8_img_0,ex_8_im_0_c_0
33,no,a tree smashed into a car,ex_8_img_1,ex_8_im_1_c_0
34,no,a car smashed into a tree,ex_8_img_0,ex_8_im_0_c_1
35,yes,a car smashed into a tree,ex_8_img_1,ex_8_im_1_c_1
36,yes,people fall on the leaves,ex_9_img_0,ex_9_im_0_c_0
37,no,people fall on the leaves,ex_9_img_1,ex_9_im_1_c_0
38,no,the leaves fall on people,ex_9_img_0,ex_9_im_0_c_1
39,yes,the leaves fall on people,ex_9_img_1,ex_9_im_1_c_1
40,yes,the sail rests below the water,ex_10_img_0,ex_10_im_0_c_0
41,no,the sail rests below the water,ex_10_img_1,ex_10_im_1_c_0
42,no,the water rests below the sail,ex_10_img_0,ex_10_im_0_c_1
43,yes,the water rests below the sail,ex_10_img_1,ex_10_im_1_c_1
44,yes,there is a table below someone,ex_11_img_0,ex_11_im_0_c_0
45,no,there is a table below someone,ex_11_img_1,ex_11_im_1_c_0
46,no,there is someone below a table,ex_11_img_0,ex_11_im_0_c_1
47,yes,there is someone below a table,ex_11_img_1,ex_11_im_1_c_1
48,yes,the image shows a computer on top of books,ex_12_img_0,ex_12_im_0_c_0
49,no,the image shows a computer on top of books,ex_12_img_1,ex_12_im_1_c_0
50,no,the image shows books on top of a computer,ex_12_img_0,ex_12_im_0_c_1
51,yes,the image shows books on top of a computer,ex_12_img_1,ex_12_im_1_c_1
52,yes,a caterpillar with some plants,ex_13_img_0,ex_13_im_0_c_0
53,no,a caterpillar with some plants,ex_13_img_1,ex_13_im_1_c_0
54,no,a plant with some caterpillars,ex_13_img_0,ex_13_im_0_c_1
55,yes,a plant with some caterpillars,ex_13_img_1,ex_13_im_1_c_1
56,yes,there is a mug in some grass,ex_14_img_0,ex_14_im_0_c_0
57,no,there is a mug in some grass,ex_14_img_1,ex_14_im_1_c_0
58,no,there is some grass in a mug,ex_14_img_0,ex_14_im_0_c_1
59,yes,there is some grass in a mug,ex_14_img_1,ex_14_im_1_c_1
60,yes,there are more skiers than snowboarders,ex_15_img_0,ex_15_im_0_c_0
61,no,there are more skiers than snowboarders,ex_15_img_1,ex_15_im_1_c_0
62,no,there are more snowboarders than skiers,ex_15_img_0,ex_15_im_0_c_1
63,yes,there are more snowboarders than skiers,ex_15_img_1,ex_15_im_1_c_1
64,yes,there are fewer forks than spoons,ex_16_img_0,ex_16_im_0_c_0
65,no,there are fewer forks than spoons,ex_16_img_1,ex_16_im_1_c_0
66,no,there are fewer spoons than forks,ex_16_img_0,ex_16_im_0_c_1
67,yes,there are fewer spoons than forks,ex_16_img_1,ex_16_im_1_c_1
68,yes,there are more ladybugs than flowers,ex_17_img_0,ex_17_im_0_c_0
69,no,there are more ladybugs than flowers,ex_17_img_1,ex_17_im_1_c_0
70,no,there are more flowers than ladybugs,ex_17_img_0,ex_17_im_0_c_1
71,yes,there are more flowers than ladybugs,ex_17_img_1,ex_17_im_1_c_1
72,yes,there is less orange juice than milk,ex_18_img_0,ex_18_im_0_c_0
73,no,there is less orange juice than milk,ex_18_img_1,ex_18_im_1_c_0
74,no,there is less milk than orange juice,ex_18_img_0,ex_18_im_0_c_1
75,yes,there is less milk than orange juice,ex_18_img_1,ex_18_im_1_c_1
76,yes,there is more dirt than empty space in the jar,ex_19_img_0,ex_19_im_0_c_0
77,no,there is more dirt than empty space in the jar,ex_19_img_1,ex_19_im_1_c_0
78,no,there is more empty space than dirt in the jar,ex_19_img_0,ex_19_im_0_c_1
79,yes,there is more empty space than dirt in the jar,ex_19_img_1,ex_19_im_1_c_1
80,yes,there is a bit less milk chocolate than white chocolate,ex_20_img_0,ex_20_im_0_c_0
81,no,there is a bit less milk chocolate than white chocolate,ex_20_img_1,ex_20_im_1_c_0
82,no,there is a bit less white chocolate than milk chocolate,ex_20_img_0,ex_20_im_0_c_1
83,yes,there is a bit less white chocolate than milk chocolate,ex_20_img_1,ex_20_im_1_c_1
84,yes,a person sits and a dog stands,ex_21_img_0,ex_21_im_0_c_0
85,no,a person sits and a dog stands,ex_21_img_1,ex_21_im_1_c_0
86,no,a person stands and a dog sits,ex_21_img_0,ex_21_im_0_c_1
87,yes,a person stands and a dog sits,ex_21_img_1,ex_21_im_1_c_1
88,yes,The person with more facial hair lies awake while the other sleeps,ex_22_img_0,ex_22_im_0_c_0
89,no,The person with more facial hair lies awake while the other sleeps,ex_22_img_1,ex_22_im_1_c_0
90,no,The person with more facial hair sleeps while the other lies awake,ex_22_img_0,ex_22_im_0_c_1
91,yes,The person with more facial hair sleeps while the other lies awake,ex_22_img_1,ex_22_im_1_c_1
92,yes,the person in the middle is floating and some others are standing,ex_23_img_0,ex_23_im_0_c_0
93,no,the person in the middle is floating and some others are standing,ex_23_img_1,ex_23_im_1_c_0
94,no,the person in the middle is standing and some others are floating,ex_23_img_0,ex_23_im_0_c_1
95,yes,the person in the middle is standing and some others are floating,ex_23_img_1,ex_23_im_1_c_1
96,yes,the person closer to the camera weightlifts and the person farther from the camera runs,ex_24_img_0,ex_24_im_0_c_0
97,no,the person closer to the camera weightlifts and the person farther from the camera runs,ex_24_img_1,ex_24_im_1_c_0
98,no,the person closer to the camera runs and the person farther from the camera weightlifts,ex_24_img_0,ex_24_im_0_c_1
99,yes,the person closer to the camera runs and the person farther from the camera weightlifts,ex_24_img_1,ex_24_im_1_c_1
100,yes,the person with the white collared shirt waters the plant while the other holds it,ex_25_img_0,ex_25_im_0_c_0
101,no,the person with the white collared shirt waters the plant while the other holds it,ex_25_img_1,ex_25_im_1_c_0
102,no,the person with the white collared shirt holds the plant while the other waters it,ex_25_img_0,ex_25_im_0_c_1
103,yes,the person with the white collared shirt holds the plant while the other waters it,ex_25_img_1,ex_25_im_1_c_1
104,yes,the taller person chops food and the shorter person eats food,ex_26_img_0,ex_26_im_0_c_0
105,no,the taller person chops food and the shorter person eats food,ex_26_img_1,ex_26_im_1_c_0
106,no,the taller person eats food and the shorter person chops food,ex_26_img_0,ex_26_im_0_c_1
107,yes,the taller person eats food and the shorter person chops food,ex_26_img_1,ex_26_im_1_c_1
108,yes,the person with the ponytail packs stuff and other buys it,ex_27_img_0,ex_27_im_0_c_0
109,no,the person with the ponytail packs stuff and other buys it,ex_27_img_1,ex_27_im_1_c_0
