,answer,query,image_name,example_id
0,yes,Is this a photo of an old person kisses a young person?,ex_0_img_0,ex_0_im_0_c_0
1,no,Is this a photo of an old person kisses a young person?,ex_0_img_1,ex_0_im_1_c_0
2,no,Is this a photo of a young person kisses an old person?,ex_0_img_0,ex_0_im_0_c_1
3,yes,Is this a photo of a young person kisses an old person?,ex_0_img_1,ex_0_im_1_c_1
4,yes,Is this a photo of the taller person hugs the shorter person?,ex_1_img_0,ex_1_im_0_c_0
5,no,Is this a photo of the taller person hugs the shorter person?,ex_1_img_1,ex_1_im_1_c_0
6,no,Is this a photo of the shorter person hugs the taller person?,ex_1_img_0,ex_1_im_0_c_1
7,yes,Is this a photo of the shorter person hugs the taller person?,ex_1_img_1,ex_1_im_1_c_1
8,yes,Is this a photo of the masked wrestler hits the unmasked wrestler?,ex_2_img_0,ex_2_im_0_c_0
9,no,Is this a photo of the masked wrestler hits the unmasked wrestler?,ex_2_img_1,ex_2_im_1_c_0
10,no,Is this a photo of the unmasked wrestler hits the masked wrestler?,ex_2_img_0,ex_2_im_0_c_1
11,yes,Is this a photo of the unmasked wrestler hits the masked wrestler?,ex_2_img_1,ex_2_im_1_c_1
12,yes,Is this a photo of a person watches an animal?,ex_3_img_0,ex_3_im_0_c_0
13,no,Is this a photo of a person watches an animal?,ex_3_img_1,ex_3_im_1_c_0
14,no,Is this a photo of an animal watches a person?,ex_3_img_0,ex_3_im_0_c_1
15,yes,Is this a photo of an animal watches a person?,ex_3_img_1,ex_3_im_1_c_1
16,yes,Is this a photo of the person without earrings pays the person with earrings?,ex_4_img_0,ex_4_im_0_c_0
17,no,Is this a photo of the person without earrings pays the person with earrings?,ex_4_img_1,ex_4_im_1_c_0
18,no,Is this a photo of the person with earrings pays the person without earrings?,ex_4_img_0,ex_4_im_0_c_1
19,yes,Is this a photo of the person with earrings pays the person without earrings?,ex_4_img_1,ex_4_im_1_c_1
20,yes,Is this a photo of a bird eats a snake?,ex_5_img_0,ex_5_im_0_c_0
21,no,Is this a photo of a bird eats a snake?,ex_5_img_1,ex_5_im_1_c_0
22,no,Is this a photo of a snake eats a bird?,ex_5_img_0,ex_5_im_0_c_1
23,yes,Is this a photo of a snake eats a bird?,ex_5_img_1,ex_5_im_1_c_1
24,yes,"Is this a photo of a plant was harmed by another organism, and that organism broke the plant into pieces?",ex_6_img_0,ex_6_im_0_c_0
25,no,"Is this a photo of a plant was harmed by another organism, and that organism broke the plant into pieces?",ex_6_img_1,ex_6_im_1_c_0
26,no,"Is this a photo of another organism was harmed by a plant, and that plant broke the organism into pieces?",ex_6_img_0,ex_6_im_0_c_1
27,yes,"Is this a photo of another organism was harmed by a plant, and that plant broke the organism into pieces?",ex_6_img_1,ex_6_im_1_c_1
28,yes,Is this a photo of a bottle is in water?,ex_7_img_0,ex_7_im_0_c_0
29,no,Is this a photo of a bottle is in water?,ex_7_img_1,ex_7_im_1_c_0
30,no,Is this a photo of water is in a bottle?,ex_7_img_0,ex_7_im_0_c_1
31,yes,Is this a photo of water is in a bottle?,ex_7_img_1,ex_7_im_1_c_1
32,yes,Is this a photo of a tree smashed into a car?,ex_8_img_0,ex_8_im_0_c_0
33,no,Is this a photo of a tree smashed into a car?,ex_8_img_1,ex_8_im_1_c_0
34,no,Is this a photo of a car smashed into a tree?,ex_8_img_0,ex_8_im_0_c_1
35,yes,Is this a photo of a car smashed into a tree?,ex_8_img_1,ex_8_im_1_c_1
36,yes,Is this a photo of people fall on the leaves?,ex_9_img_0,ex_9_im_0_c_0
37,no,Is this a photo of people fall on the leaves?,ex_9_img_1,ex_9_im_1_c_0
38,no,Is this a photo of the leaves fall on people?,ex_9_img_0,ex_9_im_0_c_1
39,yes,Is this a photo of the leaves fall on people?,ex_9_img_1,ex_9_im_1_c_1
40,yes,Is this a photo of the sail rests below the water?,ex_10_img_0,ex_10_im_0_c_0
